,id,sadness,joy,love,anger,fear,surprise
0,0,0.0049549131654202,0.0055635413154959,0.0006181916687637,0.9611870646476746,0.0271064639091491,0.0005699486937373
1,1,0.011176623404026,0.477825403213501,0.0078415144234895,0.4854404330253601,0.0150211993604898,0.0026946724392473
2,2,0.004464044701308,0.0014755277661606,0.0002965781604871,0.9919300079345704,0.0015364828286692,0.0002973994996864
3,3,0.0998314172029495,0.0097672473639249,0.0019274762598797,0.0212071929126977,0.8629889488220215,0.0042776740156114
4,4,0.0255649052560329,0.0041241962462663,0.0011333634611219,0.8312106728553772,0.1368895024061203,0.0010773815447464
5,5,0.0078530181199312,0.0091410977765917,0.0047502517700195,0.9629663825035096,0.0144574828445911,0.0008318477193824
6,6,0.0070575322024524,0.1650650799274444,0.8078678250312805,0.0057574221864342,0.0022138943895697,0.0120382849127054
7,7,0.0396164916455745,0.5202717185020447,0.0218495838344097,0.3733706176280975,0.0331244803965091,0.0117670688778162
8,8,0.0396842025220394,0.3714917302131653,0.0106821376830339,0.4346356093883514,0.1347857415676117,0.0087205534800887
9,9,0.0146045815199613,0.6822514533996582,0.009465959854424,0.2362615913152694,0.0538206212222576,0.0035958809312433
10,10,0.0230021104216575,0.0238849055022001,0.0017100337427109,0.6640987992286682,0.2853253781795501,0.0019787705969065
11,11,0.0026662480086088,0.0010927920229732,0.0002952384820673,0.9923772811889648,0.0032220426946878,0.0003463293542154
12,12,0.0196591150015592,0.0498520396649837,0.0066847992129623,0.0470748990774154,0.8529701232910156,0.0237590055912733
13,13,0.0297610592097044,0.0709152221679687,0.0030827433802187,0.8161235451698303,0.0787788853049278,0.001338462694548
14,14,0.0192502550780773,0.5850715041160583,0.0052073081023991,0.3816388249397278,0.0068682502023875,0.0019638477824628
15,15,0.0023460283409804,0.9891948699951172,0.0016267814207822,0.0044325529597699,0.0011244543129578,0.0012753322953358
16,16,0.0123515902087092,0.0041768038645386,0.0009601875790394,0.623510479927063,0.3555064797401428,0.003494452452287
17,17,0.0123435389250516,0.0100068012252449,0.0013738222187384,0.631740152835846,0.342814177274704,0.0017215986736118
18,18,0.0102038411423563,0.1226992160081863,0.0031425785273313,0.7011553049087524,0.1585887670516967,0.0042102891020476
19,19,0.0106206275522708,0.0960691273212432,0.0048579121939837,0.877926230430603,0.0081998705863952,0.0023262482136487
20,20,0.0029058181680738,0.0230658836662769,0.0009969423990696,0.0101704262197017,0.9591301679611206,0.0037308351602405
21,21,0.0337763577699661,0.0300170388072729,0.0089594889432191,0.6955553293228149,0.2266909629106521,0.005000818055123
22,22,0.1943520903587341,0.0019240676192566,0.0007001354824751,0.0034393602982163,0.7981148958206177,0.0014694452984258
23,23,0.0153260994702577,0.0069574983790516,0.0005670196842402,0.9440132975578308,0.0316082127392292,0.0015278429491445
24,24,0.0090646715834736,0.0379587113857269,0.0014880804810672,0.0490271560847759,0.9001042246818542,0.0023572219070047
25,25,0.0739248842000961,0.5175648927688599,0.0144600188359618,0.3547495007514953,0.0326018705964088,0.0066987890750169
26,26,0.0199073404073715,0.0276706367731094,0.0024155089631676,0.899384617805481,0.049832098186016,0.0007897543255239
27,27,0.9821285009384156,0.0004921833169646,0.0002792596060317,0.0155557570978999,0.0012996819568797,0.0002445924619678
28,28,0.0051460899412631,0.0010644034482538,0.000657238648273,0.9788692593574524,0.013885673135519,0.0003774217038881
29,29,0.0458336025476455,0.2950017750263214,0.0112653821706771,0.6111811995506287,0.0298096351325511,0.0069084577262401
30,30,0.8805418014526367,0.0024569288361817,0.00054178875871,0.1036358401179313,0.0120344832539558,0.0007892823778092
31,31,0.0019554488826543,0.9856570959091188,0.001023223157972,0.003253293223679,0.0071855075657367,0.0009254389442503
32,32,0.0739952996373176,0.3130369484424591,0.0108442436903715,0.5366984605789185,0.057138904929161,0.0082861594855785
33,33,0.7110124826431274,0.2055958807468414,0.0039191278629004,0.0533925965428352,0.0222022384405136,0.0038776819128543
34,34,0.0436326600611209,0.4204507172107696,0.0050980560481548,0.3735644519329071,0.1540500670671463,0.0032040835358202
35,35,0.0167692899703979,0.0097288219258189,0.001657891087234,0.9498280882835388,0.0207052659243345,0.0013105969410389
36,36,0.0109007153660058,0.0140614444389939,0.0008155329269357,0.0437481887638568,0.9294823408126832,0.0009917417773976
37,37,0.0383865498006343,0.4310061335563659,0.0102061014622449,0.4468723833560943,0.0690108761191368,0.004517966415733
38,38,0.199144184589386,0.0039460510015487,0.0013938586926087,0.7910110950469971,0.0037438659928739,0.0007609215681441
39,39,0.6207608580589294,0.0152969006448984,0.0015284117544069,0.355065107345581,0.0065678618848323,0.0007808862137608
40,40,0.0126717798411846,0.0147061962634325,0.0018165732035413,0.0111800450831651,0.957083821296692,0.0025415008421987
41,41,0.0150133362039923,0.9215454459190368,0.0047177248634397,0.0511178337037563,0.005986142437905,0.0016195765929296
42,42,0.9470192790031432,0.0030636740848422,0.0006272501777857,0.0402919724583625,0.0081882057711482,0.0008096758392639
43,43,0.0013521260116249,0.0008633505785837,0.0002838201180566,0.9953821301460266,0.0019207829609513,0.0001978228538064
44,44,0.0179218128323555,0.074998453259468,0.0039919433183968,0.8922451734542847,0.009741373360157,0.001101343310438
45,45,0.0404956303536891,0.0543486587703228,0.0036429455503821,0.6775119304656982,0.2194632887840271,0.0045375148765742
