,id,word_count,stopword_count,prop_stop
0,0,820,322,0.3926829268292683
1,1,710,286,0.4028169014084507
2,2,1266,493,0.38941548183254343
3,3,557,212,0.38061041292639136
4,4,154,58,0.37662337662337664
5,5,203,70,0.3448275862068966
6,6,489,176,0.35991820040899797
7,7,822,320,0.38929440389294406
8,8,1440,652,0.4527777777777778
9,9,1736,633,0.36463133640552997
10,10,1485,535,0.3602693602693603
11,11,526,185,0.3517110266159696
12,12,451,166,0.36807095343680707
13,13,255,96,0.3764705882352941
14,14,5935,2481,0.4180286436394271
15,15,1127,464,0.41171251109139306
16,16,1252,479,0.38258785942492013
17,17,438,175,0.3995433789954338
18,18,1353,329,0.24316334072431633
19,19,318,130,0.4088050314465409
20,20,377,153,0.40583554376657827
21,21,289,90,0.31141868512110726
22,22,206,86,0.4174757281553398
23,23,484,199,0.41115702479338845
24,24,822,320,0.38929440389294406
25,25,769,313,0.4070221066319896
26,26,508,212,0.41732283464566927
27,27,456,181,0.3969298245614035
28,28,758,292,0.38522427440633245
29,29,6545,2609,0.39862490450725746
30,30,556,226,0.4064748201438849
31,31,1146,437,0.38132635253054104
32,32,1276,524,0.4106583072100313
33,33,1630,611,0.37484662576687117
34,34,1111,418,0.37623762376237624
35,35,1764,722,0.409297052154195
36,36,3649,1458,0.3995615237051247
37,37,3295,1189,0.36084977238239757
38,38,449,156,0.34743875278396436
39,39,933,372,0.3987138263665595
40,40,540,212,0.3925925925925926
41,41,772,289,0.3743523316062176
42,42,595,240,0.40336134453781514
43,43,176,65,0.3693181818181818
44,44,398,139,0.3492462311557789
45,45,976,386,0.39549180327868855
46,46,558,218,0.3906810035842294
47,47,490,0,0.0
48,48,397,139,0.3501259445843829
49,49,353,131,0.37110481586402266
50,50,989,414,0.4186046511627907
51,51,477,151,0.3165618448637317
52,52,324,111,0.3425925925925926
53,53,131,62,0.4732824427480916
54,54,45,15,0.3333333333333333
55,55,926,397,0.4287257019438445
56,56,212,67,0.3160377358490566
57,57,1491,607,0.40710932260228033
58,58,1633,675,0.41334966319657074
59,59,1859,699,0.37600860677783754
60,60,1216,465,0.3824013157894737
61,61,62,21,0.3387096774193548
62,62,1273,481,0.377847604084839
63,63,178,39,0.21910112359550563
64,64,709,280,0.39492242595204513
65,65,603,207,0.34328358208955223
66,66,1599,607,0.3796122576610381
67,67,345,127,0.3681159420289855
68,68,292,112,0.3835616438356164
69,69,200,78,0.39
70,70,1347,521,0.3867854491462509
71,71,4282,1198,0.2797758056982718
72,72,351,137,0.3903133903133903
73,73,1502,537,0.3575233022636485
74,74,1302,503,0.38632872503840243
75,75,823,298,0.362089914945322
76,76,447,192,0.42953020134228187
77,77,242,90,0.371900826446281
78,78,1202,474,0.39434276206322794
79,79,225,83,0.3688888888888889
80,80,830,265,0.3192771084337349
81,81,32,10,0.3125
82,82,0,0,
83,83,306,130,0.42483660130718953
84,84,1938,746,0.3849329205366357
85,85,225,76,0.3377777777777778
86,86,33,12,0.36363636363636365
87,87,1239,466,0.3761097659402744
88,88,275,81,0.29454545454545455
89,89,757,248,0.3276089828269485
90,90,1106,402,0.36347197106690776
91,91,582,230,0.3951890034364261
92,92,1244,485,0.38987138263665594
93,93,879,360,0.40955631399317405
94,94,171,47,0.27485380116959063
95,95,842,335,0.3978622327790974
96,96,1170,478,0.40854700854700854
97,97,291,114,0.3917525773195876
98,98,1415,571,0.40353356890459363
99,99,1316,481,0.3655015197568389
100,100,25,8,0.32
101,101,1010,364,0.3603960396039604
102,102,830,288,0.3469879518072289
103,103,583,241,0.41337907375643224
104,104,380,147,0.3868421052631579
105,105,420,121,0.28809523809523807
106,106,553,192,0.3471971066907776
107,107,135,40,0.2962962962962963
108,108,401,153,0.38154613466334164
109,109,666,245,0.36786786786786785
110,110,1608,669,0.416044776119403
111,111,251,95,0.3784860557768924
112,112,175,48,0.2742857142857143
113,113,1089,389,0.35720844811753905
114,114,1406,503,0.3577524893314367
115,115,417,130,0.3117505995203837
116,116,849,325,0.3828032979976443
117,117,994,367,0.369215291750503
118,118,976,349,0.35758196721311475
119,119,1461,571,0.39082819986310746
120,120,16,7,0.4375
121,121,829,331,0.39927623642943305
122,122,834,319,0.3824940047961631
123,123,1180,456,0.3864406779661017
124,124,100,47,0.47
125,125,77,26,0.33766233766233766
126,126,3124,1285,0.4113316261203585
127,127,1546,624,0.4036222509702458
128,128,703,288,0.4096728307254623
129,129,530,167,0.3150943396226415
130,130,125,51,0.408
131,131,142,50,0.352112676056338
132,132,1761,622,0.3532084043157297
133,133,1120,408,0.36428571428571427
134,134,424,149,0.35141509433962265
135,135,586,209,0.35665529010238906
136,136,310,117,0.3774193548387097
137,137,965,403,0.41761658031088084
138,138,492,214,0.4349593495934959
139,139,479,184,0.38413361169102295
140,140,119,44,0.3697478991596639
141,141,372,135,0.3629032258064516
143,143,657,262,0.3987823439878234
144,144,474,178,0.3755274261603376
145,145,328,120,0.36585365853658536
146,146,1090,398,0.3651376146788991
147,147,359,140,0.38997214484679665
148,148,89,34,0.38202247191011235
149,149,685,267,0.3897810218978102
150,150,95,19,0.2
151,151,334,123,0.36826347305389223
152,152,475,178,0.37473684210526315
153,153,1178,402,0.34125636672325976
154,154,1247,450,0.3608660785886127
155,155,1074,389,0.3621973929236499
156,156,1212,458,0.3778877887788779
157,157,1430,555,0.3881118881118881
158,158,327,120,0.3669724770642202
159,159,4224,1583,0.37476325757575757
160,160,1328,487,0.3667168674698795
161,161,812,307,0.37807881773399016
162,162,32,15,0.46875
163,163,40,10,0.25
164,164,222,89,0.4009009009009009
165,165,727,265,0.36451169188445665
166,166,1034,399,0.3858800773694391
167,167,970,370,0.38144329896907214
168,168,185,67,0.3621621621621622
169,169,0,0,
170,170,1166,531,0.4554030874785592
171,171,197,85,0.43147208121827413
172,172,268,99,0.3694029850746269
173,173,2,0,0.0
174,174,650,259,0.3984615384615385
175,175,184,58,0.31521739130434784
176,176,1098,404,0.3679417122040073
177,177,1240,454,0.36612903225806454
178,178,1973,675,0.3421186011150532
179,179,178,67,0.37640449438202245
180,180,834,319,0.3824940047961631
181,181,1452,528,0.36363636363636365
182,182,892,333,0.37331838565022424
183,183,1310,539,0.4114503816793893
184,184,705,241,0.34184397163120567
185,185,847,332,0.3919716646989374
186,186,200,48,0.24
187,187,937,361,0.3852721451440768
188,188,342,122,0.3567251461988304
189,189,1046,378,0.361376673040153
190,190,111,27,0.24324324324324326
191,191,6929,2701,0.3898109395295136
192,192,348,130,0.3735632183908046
193,193,533,138,0.2589118198874296
194,194,1866,653,0.34994640943194
195,195,657,247,0.3759512937595129
196,196,8,3,0.375
197,197,5064,1813,0.3580173775671406
198,198,1686,729,0.43238434163701067
199,199,1922,695,0.36160249739854317
200,200,1218,455,0.3735632183908046
201,201,448,168,0.375
202,202,1249,426,0.3410728582866293
203,203,280,77,0.275
204,204,949,399,0.4204425711275026
205,205,831,292,0.35138387484957884
206,206,361,137,0.37950138504155123
207,207,1055,418,0.3962085308056872
208,208,1118,477,0.426654740608229
209,209,40,10,0.25
210,210,412,162,0.3932038834951456
211,211,1604,588,0.36658354114713215
212,212,518,207,0.3996138996138996
213,213,109,29,0.26605504587155965
214,214,124,32,0.25806451612903225
215,215,719,258,0.3588317107093185
216,216,32,8,0.25
217,217,1253,479,0.3822825219473264
218,218,672,231,0.34375
219,219,1031,407,0.3947623666343356
220,220,1403,540,0.3848895224518888
221,221,383,136,0.35509138381201044
222,222,914,344,0.37636761487964987
223,223,40,18,0.45
224,224,1632,579,0.3547794117647059
225,225,700,272,0.38857142857142857
226,226,135,46,0.34074074074074073
227,227,1307,503,0.38485080336648814
228,228,1090,446,0.4091743119266055
229,229,1019,0,0.0
230,230,541,199,0.3678373382624769
231,231,145,51,0.35172413793103446
232,232,1265,438,0.34624505928853755
233,233,219,12,0.0547945205479452
234,234,1227,503,0.4099429502852486
235,235,228,76,0.3333333333333333
236,236,363,157,0.4325068870523416
237,237,823,317,0.38517618469015796
238,238,238,70,0.29411764705882354
239,239,1160,385,0.33189655172413796
240,240,356,127,0.35674157303370785
241,241,839,292,0.34803337306317045
242,242,173,59,0.34104046242774566
243,243,326,129,0.39570552147239263
244,244,291,108,0.3711340206185567
245,245,1146,462,0.4031413612565445
246,246,96,29,0.3020833333333333
247,247,771,301,0.39040207522697795
248,248,763,335,0.43905635648754915
249,249,822,303,0.3686131386861314
250,250,477,156,0.3270440251572327
251,251,1166,432,0.3704974271012007
252,252,327,133,0.40672782874617736
253,253,468,191,0.4081196581196581
254,254,427,163,0.38173302107728335
255,255,77,22,0.2857142857142857
256,256,599,190,0.31719532554257096
257,257,112,3,0.026785714285714284
258,258,996,374,0.3755020080321285
259,259,1268,500,0.3943217665615142
260,260,1244,449,0.3609324758842444
261,261,291,14,0.048109965635738834
262,262,944,347,0.3675847457627119
263,263,1707,631,0.36965436438195665
264,264,865,324,0.3745664739884393
265,265,1279,486,0.37998436278342457
266,266,434,164,0.3778801843317972
267,267,109,45,0.41284403669724773
268,268,1511,568,0.3759099933818663
269,269,368,128,0.34782608695652173
270,270,1643,654,0.39805234327449784
271,271,413,153,0.3704600484261501
272,272,1098,437,0.39799635701275043
273,273,171,75,0.43859649122807015
274,274,1548,596,0.3850129198966408
275,275,80,29,0.3625
276,276,1291,497,0.3849728892331526
277,277,238,100,0.42016806722689076
278,278,568,185,0.3257042253521127
279,279,743,279,0.3755047106325707
280,280,356,128,0.3595505617977528
281,281,81,35,0.43209876543209874
282,282,228,73,0.3201754385964912
283,283,519,180,0.3468208092485549
284,284,832,338,0.40625
285,285,1378,517,0.3751814223512337
286,286,1011,368,0.3639960435212661
287,287,60,23,0.38333333333333336
288,288,38,16,0.42105263157894735
289,289,866,328,0.3787528868360277
290,290,26,3,0.11538461538461539
291,291,851,321,0.3772032902467685
292,292,818,285,0.3484107579462103
293,293,148,65,0.4391891891891892
294,294,826,294,0.3559322033898305
295,295,0,0,
296,296,821,297,0.3617539585870889
297,297,837,316,0.37753882915173237
298,298,2266,856,0.37775816416593117
299,299,246,96,0.3902439024390244
300,300,613,222,0.3621533442088091
301,301,1174,418,0.35604770017035775
302,302,331,127,0.38368580060422963
303,303,681,258,0.3788546255506608
304,304,840,305,0.3630952380952381
305,305,1931,712,0.368720870015536
306,306,322,116,0.36024844720496896
307,307,3332,238,0.07142857142857142
308,308,1442,547,0.37933425797503467
309,309,1525,579,0.379672131147541
310,310,472,185,0.3919491525423729
311,311,639,234,0.36619718309859156
312,312,634,207,0.3264984227129338
313,313,1415,561,0.39646643109540636
314,314,338,145,0.4289940828402367
315,315,144,55,0.3819444444444444
316,316,370,139,0.37567567567567567
317,317,375,147,0.392
318,318,364,118,0.3241758241758242
319,319,1282,488,0.38065522620904835
320,320,2461,963,0.391304347826087
321,321,1452,535,0.36845730027548207
